competitor_list_price,competitor_markdown_price,competitor_product_id,competitor_product_name,competitor_model,competitor_product_url,competitor_laptop_type,competitor_screen_size,competitor_operating_system,competitor_processor_series,competitor_processor_model,competitor_graphics,competitor_harddrive_capacity,competitor_ram_capacity,competitor_touchscreen,competitor_display_resolution,competitor_optical_drive,competitor_keyboard_backlit,competitor_warranty,seller_name,stock,Block_data,time_stamp
,3879,55007372,Notebook Lenovo Core i5-1035G1 8GB 1TB Tela 15.6” Windows 10 Ideapad S145,,https://www.pontofrio.com.br/notebook-lenovo-core-i5-1035g1-8gb-1tb-tela-15-6-windows-10-ideapad-s145/p/55007372,,,,,,,,,,,,,,Pontofrio,,"Tipo|NotebookProcessador|Intel® Core™ i5-1035G1 Quad Core 1.0 GHz com Turbo Max até 3.6 GHzSistema operacional|Windows 10 HomeUnidade óptica|Não possuiLeitor de cartão|SDLeitor de cartão|SDHCLeitor de cartão|MMCLeitor de cartão|SDXCLeitor biométrico|NãoTamanho da tela|15.6""Webcam integrada|SimResolução da webcam|0.3 MP (VGA)Características Gerais|- Tela TN HD Widescreen Antirreflexo, com resolução de 1366 x 768
- Alto-falantes com certificação Dolby Audio (2 x 1.5 W)
- Conector combo para fone de ouvido / microfone
- Abertura de tela de 180 graus
- Microfone integrado
Cache|6 MBChipset|IntegradoTipo de tela|LCD LEDCor|PrataConexão s/ fio (wireless)|802.11acConexão Bluetooth|SimMemória RAM|8 GB DDR4 2400 MHz (4 GB soldado + 4 GB slot)Expansão da memória até|20 GB (4 GB soldado + 16 GB slot)Disco rígido (HD)|1 TB 5400 RPMPortas USB|2 (3.1), 1 (2.0)Tensão/Voltagem|BivoltGarantia|12 mesesConteúdo da Embalagem|- Notebook
- Adaptador AC
- Cabo de força
- ManualConexão HDMI|simSoftwares inclusos|Lenovo Vantage, Dolby Audio, Lenovo App Explorer, Lenovo ID
Bateria|2 células 30 WhPlaca de vídeo|Integrada, com Intel® UHD GraphicsPlaca de som|Integrada, com Dolby AudioTeclado|Português-BR, com teclado numéricoMouse|TouchpadTipo de memória|DDR4Bateria removível|Não",2021-04-03 17:21:17
,4040.28,1511721843,"Notebook Lenovo Ideapad S145 Tela 15.6, Ryzen 5, 8GB, HD 1TB, Radeon RX Vega 8, Linux - 81V7S00100",,https://www.pontofrio.com.br/notebook-lenovo-ideapad-s145-tela-156-ryzen-5-8gb-hd-1tb-radeon-rx-vega-8-linux-81v7s00100/p/1511721843,,,,,,,,,,,,,,Oficina dos Bits,,,2021-04-03 17:21:17
,7315.39,1511691338,"Notebook Lenovo Ideapad S145 - Tela 15.6 Full HD, Intel i7, 32GB, SSD 256GB, Windows 10",,https://www.pontofrio.com.br/notebook-lenovo-ideapad-s145-tela-156-full-hd-intel-i7-32gb-ssd-256gb-windows-10/p/1511691338,,,,,,,,,,,,,,Oficina dos Bits,,,2021-04-03 17:21:18
,9999,1510087740,"MacBook Air pple 13,3, 8GB, SSD 256GB, Processador M1, Cinza Espacial - MGN63BZ/A",,https://www.pontofrio.com.br/macbook-air-pple-133-8gb-ssd-256gb-processador-m1-cinza-espacial-mgn63bz-a/p/1510087740,,,,,,,,,,Não se aplica,,,,FABULA IMPORTS,,Características Gerais|Não se aplica,2021-04-03 17:21:18
,7970.41,1511691333,"Notebook Lenovo Ideapad S145 - Tela 15.6 Full HD, Intel i7, 32GB, SSD 256GB + HD 1TB, Windows 10",,https://www.pontofrio.com.br/notebook-lenovo-ideapad-s145-tela-156-full-hd-intel-i7-32gb-ssd-256gb-hd-1tb-windows-10/p/1511691333,,,,,,,,,,,,,,Oficina dos Bits,,,2021-04-03 17:21:18
,7097.05,1511691310,"Notebook Lenovo Ideapad S145 - Tela 15.6 Full HD, Intel i7, 20GB, SSD 256GB + HD 1TB, Windows 10",,https://www.pontofrio.com.br/notebook-lenovo-ideapad-s145-tela-156-full-hd-intel-i7-20gb-ssd-256gb-hd-1tb-windows-10/p/1511691310,,,,,,,,,,,,,,Oficina dos Bits,,,2021-04-03 17:21:18
,3499,1508902682,Notebook Lenovo B330 Intel Core I3-7020u 4gb 500gb 15.6 Pol,,https://www.pontofrio.com.br/notebook-lenovo-b330-intel-core-i3-7020u-4gb-500gb-156-pol/p/1508902682,,,,,,,,,,,,,,IDERIS,,,2021-04-03 17:21:18
,5241.16,1511274692,"Notebook Lenovo Ideapad S145 - Tela 15.6, Ryzen 5, 20GB, HD 1TB + SSD 240GB, Radeon RX Vega 8, Linux",,https://www.pontofrio.com.br/notebook-lenovo-ideapad-s145-tela-156-ryzen-5-20gb-hd-1tb-ssd-240gb-radeon-rx-vega-8-linux/p/1511274692,,,,,,,,,,,,,,Oficina dos Bits,,,2021-04-03 17:21:18
,5399,1504652158,"Notebook Lenovo Ultrafino Ideapad S145 I5-8265u 8gb 1tb Windows 10 Geforce Mx 110 15.6"" 81s9000pbr",,https://www.pontofrio.com.br/notebook-lenovo-ultrafino-ideapad-s145-i5-8265u-8gb-1tb-windows-10-geforce-mx-110-156-quot-81s9000pbr/p/1504652158,,,,,,,,,,,,,,Sir Tecnologia,,,2021-04-03 17:21:18
,2689.9,1504346956,"Chromebook Lenovo 11,6`` N4000 4Gb 32Gb Emmc + Cartão 16Gb",,https://www.pontofrio.com.br/chromebook-lenovo-116-n4000-4gb-32gb-emmc-cartao-16gb/p/1504346956,,,,,,,,,,,,,,Olist,,,2021-04-03 17:21:18
